"respondent_id","district","poll_id","w_lv","w_rv","birthright_citizenship","check_or_support"
117,"az02","az02-1",0.8507,0.7491,NA,"Check"
118,"az02","az02-1",0.8294,0.7091,NA,"Don't know"
119,"az02","az02-1",0.7399,0.5329,NA,"Support"
120,"az02","az02-1",0.576,0.4087,NA,"Check"
121,"az02","az02-1",1.1009,0.6954,NA,"Check"
122,"az02","az02-1",0.8079,0.5752,NA,"Support"
123,"az02","az02-1",0.9049,0.618,NA,"Check"
124,"az02","az02-1",0.7328,0.7217,NA,"Check"
125,"az02","az02-1",1.175,1.424,NA,"Support"
126,"az02","az02-1",0.6086,0.3881,NA,"Check"
127,"az02","az02-1",0.7399,0.5301,NA,"Support"
128,"az02","az02-1",0.9823,0.6276,NA,"Don't know"
129,"az02","az02-1",0.6954,0.4326,NA,"Check"
130,"az02","az02-1",0.7816,0.6232,NA,"Support"
131,"az02","az02-1",0.7549,0.4925,NA,"Don't know"
132,"az02","az02-1",0.7009,0.4624,NA,"Check"
133,"az02","az02-1",0.8819,0.4954,NA,"Check"
134,"az02","az02-1",0.6343,0.3956,NA,"Support"
135,"az02","az02-1",1.1567,0.7356,NA,"Check"
136,"az02","az02-1",0.6011,0.5062,NA,"Support"
137,"az02","az02-1",0.7363,0.5728,NA,"Don't know"
138,"az02","az02-1",1.1951,0.8072,NA,"Support"
139,"az02","az02-1",1.3272,1.5791,NA,"Check"
140,"az02","az02-1",0.9516,0.8376,NA,"Support"
141,"az02","az02-1",0.7931,0.5135,NA,"Support"
142,"az02","az02-1",1.1951,0.8049,NA,"Support"
143,"az02","az02-1",0.9002,0.6903,NA,"Support"
144,"az02","az02-1",1.1656,0.8685,NA,"Check"
145,"az02","az02-1",0.9341,0.5975,NA,"Check"
146,"az02","az02-1",0.7549,0.4896,NA,"Check"
147,"az02","az02-1",0.6343,0.4019,NA,"Check"
148,"az02","az02-1",0.6954,0.4424,NA,"Check"
149,"az02","az02-1",0.6554,0.478,NA,"Support"
150,"az02","az02-1",1.0673,0.6156,NA,"Check"
151,"az02","az02-1",1.2557,0.8469,NA,"Support"
152,"az02","az02-1",1.2346,1.4666,NA,"Support"
153,"az02","az02-1",0.7931,0.5292,NA,"Check"
154,"az02","az02-1",0.5964,0.4593,NA,"Support"
155,"az02","az02-1",0.9443,0.7455,NA,"Check"
156,"az02","az02-1",0.9632,0.7532,NA,"Check"
157,"az02","az02-1",0.737,0.5239,NA,"Check"
158,"az02","az02-1",1.46,7.2649,NA,"Don't know"
159,"az02","az02-1",1.4154,5.6953,NA,"Check"
160,"az02","az02-1",0.7387,0.5622,NA,"Check"
161,"az02","az02-1",1.0758,0.6661,NA,"Check"
162,"az02","az02-1",1.0673,0.6123,NA,"Check"
163,"az02","az02-1",1.0043,0.6735,NA,"Check"
164,"az02","az02-1",1.1925,1.4748,NA,"Check"
165,"az02","az02-1",1.0982,1.0381,NA,"Check"
166,"az02","az02-1",1.673,3.4819,NA,"Support"
167,"az02","az02-1",0.9064,0.602,NA,"Check"
168,"az02","az02-1",1.3377,3.627,NA,"Support"
169,"az02","az02-1",1.1392,1.4638,NA,"Support"
170,"az02","az02-1",0.7386,0.7804,NA,"Check"
171,"az02","az02-1",1.0755,0.7874,NA,"Check"
172,"az02","az02-1",1.1951,0.8115,NA,"Support"
173,"az02","az02-1",0.8414,0.5179,NA,"Check"
174,"az02","az02-1",1.1659,0.8193,NA,"Check"
175,"az02","az02-1",0.8819,0.4921,NA,"Check"
176,"az02","az02-1",1.0056,1.0007,NA,"Check"
177,"az02","az02-1",0.9635,0.6395,NA,"Check"
178,"az02","az02-1",1.1094,0.8024,NA,"Support"
179,"az02","az02-1",1.2095,1.4634,NA,"Check"
180,"az02","az02-1",0.8516,0.6156,NA,"Check"
181,"az02","az02-1",1.2557,0.8551,NA,"Support"
182,"az02","az02-1",1.2664,6.346,NA,"Check"
183,"az02","az02-1",1.012,0.7091,NA,"Check"
184,"az02","az02-1",1.0673,0.6622,NA,"Check"
185,"az02","az02-1",0.6343,0.3734,NA,"Check"
186,"az02","az02-1",1.2657,1.0584,NA,"Support"
187,"az02","az02-1",1.1512,1.4126,NA,"Check"
188,"az02","az02-1",1.0704,0.8441,NA,"Check"
189,"az02","az02-1",0.9951,1.0991,NA,"Check"
190,"az02","az02-1",1.5222,2.7656,NA,"Don't know"
191,"az02","az02-1",1.2588,1.7505,NA,"Check"
192,"az02","az02-1",0.889,0.6194,NA,"Check"
193,"az02","az02-1",0.9562,0.8044,NA,"Support"
194,"az02","az02-1",0.8996,0.6778,NA,"Check"
195,"az02","az02-1",1.1248,0.9368,NA,"Support"
196,"az02","az02-1",0.9049,0.5372,NA,"Check"
197,"az02","az02-1",1.0779,3.0628,NA,"Check"
198,"az02","az02-1",0.9581,0.7151,NA,"Check"
199,"az02","az02-1",1.0622,0.7406,NA,"Check"
200,"az02","az02-1",0.6037,0.3891,NA,"Check"
201,"az02","az02-1",1.145,1.2134,NA,"Check"
202,"az02","az02-1",0.9595,0.8395,NA,"Don't know"
203,"az02","az02-1",1.2692,0.7963,NA,"Support"
204,"az02","az02-1",1.0376,0.7675,NA,"Support"
205,"az02","az02-1",1.0376,0.6923,NA,"Support"
206,"az02","az02-1",1.1009,0.6998,NA,"Check"
207,"az02","az02-1",1.0886,0.9692,NA,"Don't know"
208,"az02","az02-1",0.7306,0.4428,NA,"Don't know"
209,"az02","az02-1",1.1831,0.8999,NA,"Support"
210,"az02","az02-1",1.1567,0.7711,NA,"Check"
211,"az02","az02-1",0.6084,0.4388,NA,"Support"
212,"az02","az02-1",0.7364,0.5254,NA,"Check"
213,"az02","az02-1",0.9452,0.7103,NA,"Check"
214,"az02","az02-1",1.0043,0.6169,NA,"Check"
215,"az02","az02-1",0.6606,0.4523,NA,"Check"
216,"az02","az02-1",0.9057,0.875,NA,"Support"
217,"az02","az02-1",1.0777,1.2303,NA,"Check"
218,"az02","az02-1",1.4333,6.7828,NA,"Check"
219,"az02","az02-1",1.397,3.6277,NA,"Don't know"
220,"az02","az02-1",0.7421,0.5656,NA,"Check"
221,"az02","az02-1",1.1656,0.841,NA,"Check"
222,"az02","az02-1",1.0982,1.2122,NA,"Check"
223,"az02","az02-1",1.1963,0.7845,NA,"Support"
224,"az02","az02-1",0.8471,0.6858,NA,"Support"
225,"az02","az02-1",0.7931,0.5624,NA,"Support"
226,"az02","az02-1",0.6086,0.4545,NA,"Check"
227,"az02","az02-1",0.9002,0.6789,NA,"Support"
228,"az02","az02-1",0.6005,0.366,NA,"Check"
229,"az02","az02-1",0.8888,0.5632,NA,"Check"
230,"az02","az02-1",0.664,0.4716,NA,"Check"
231,"az02","az02-1",0.5677,0.4242,NA,"Check"
232,"az02","az02-1",1.0565,0.82,NA,"Check"
233,"az02","az02-1",1.2115,0.8842,NA,"Support"
234,"az02","az02-1",1.1094,0.7908,NA,"Don't know"
235,"az02","az02-1",0.7271,0.524,NA,"Check"
236,"az02","az02-1",0.9459,0.7181,NA,"Support"
237,"az02","az02-1",1.1659,0.7948,NA,"Check"
238,"az02","az02-1",0.9338,0.5882,NA,"Support"
239,"az02","az02-1",1.2329,0.986,NA,"Support"
240,"az02","az02-1",1.2304,0.7032,NA,"Check"
241,"az02","az02-1",1.4039,1.3884,NA,"Check"
242,"az02","az02-1",1.1386,2.0713,NA,"Check"
243,"az02","az02-1",0.6554,0.4123,NA,"Support"
244,"az02","az02-1",1.175,0.9293,NA,"Check"
245,"az02","az02-1",1.0755,0.7071,NA,"Check"
246,"az02","az02-1",0.6886,0.4417,NA,"Support"
247,"az02","az02-1",0.7232,0.5675,NA,"Check"
248,"az02","az02-1",1.0898,1.0274,NA,"Check"
249,"az02","az02-1",1.0023,1.7308,NA,"Check"
250,"az02","az02-1",1.1656,0.8305,NA,"Check"
251,"az02","az02-1",1.1567,0.7853,NA,"Don't know"
252,"az02","az02-1",0.7306,0.4442,NA,"Check"
253,"az02","az02-1",0.8819,0.5749,NA,"Check"
254,"az02","az02-1",1.0251,0.8478,NA,"Check"
255,"az02","az02-1",0.6954,0.4228,NA,"Check"
256,"az02","az02-1",0.6037,0.3859,NA,"Check"
257,"az02","az02-1",0.6084,0.4178,NA,"Check"
258,"az02","az02-1",0.9558,0.6057,NA,"Check"
259,"az02","az02-1",0.7803,0.6112,NA,"Check"
260,"az02","az02-1",0.6392,0.4435,NA,"Support"
261,"az02","az02-1",1.3374,1.353,NA,"Support"
262,"az02","az02-1",1.0043,0.6158,NA,"Check"
263,"az02","az02-1",0.6205,0.3869,NA,"Support"
264,"az02","az02-1",1.2234,0.8831,NA,"Check"
265,"az02","az02-1",1.0837,4.0683,NA,"Check"
266,"az02","az02-1",1.0376,0.6856,NA,"Support"
267,"az02","az02-1",0.6343,0.3802,NA,"Check"
268,"az02","az02-1",1.1685,1.8311,NA,"Check"
269,"az02","az02-1",1.0982,0.9277,NA,"Check"
270,"az02","az02-1",1.4509,1.4704,NA,"Support"
271,"az02","az02-1",1.3303,1.6329,NA,"Check"
272,"az02","az02-1",0.6394,0.4278,NA,"Check"
273,"az02","az02-1",1.0376,0.6798,NA,"Support"
274,"az02","az02-1",0.8199,0.6704,NA,"Check"
275,"az02","az02-1",1.4052,1.2054,NA,"Support"
276,"az02","az02-1",0.8471,0.7234,NA,"Support"
277,"az02","az02-1",0.7816,0.5756,NA,"Check"
278,"az02","az02-1",0.9756,0.8522,NA,"Support"
279,"az02","az02-1",1.1951,0.8068,NA,"Support"
280,"az02","az02-1",0.6343,0.3746,NA,"Check"
281,"az02","az02-1",1.1567,0.8176,NA,"Don't know"
282,"az02","az02-1",0.7936,0.5534,NA,"Support"
283,"az02","az02-1",1.5222,2.2637,NA,"Don't know"
284,"az02","az02-1",1.4476,1.0169,NA,"Support"
285,"az02","az02-1",1.0902,0.7563,NA,"Support"
286,"az02","az02-1",1.0673,0.6161,NA,"Check"
287,"az02","az02-1",1.1567,0.745,NA,"Check"
288,"az02","az02-1",0.6886,0.4976,NA,"Support"
289,"az02","az02-1",0.7444,0.644,NA,"Support"
290,"az02","az02-1",1.3114,4.1413,NA,"Check"
291,"az02","az02-1",0.6954,0.4463,NA,"Check"
292,"az02","az02-1",0.9574,0.6028,NA,"Support"
293,"az02","az02-1",1.0043,0.6427,NA,"Check"
294,"az02","az02-1",0.7699,0.7584,NA,"Check"
295,"az02","az02-1",1.3438,0.9903,NA,"Don't know"
296,"az02","az02-1",1.116,1.1107,NA,"Check"
297,"az02","az02-1",0.8876,0.7759,NA,"Support"
298,"az02","az02-1",0.6977,0.5132,NA,"Check"
299,"az02","az02-1",0.6954,0.4237,NA,"Check"
300,"az02","az02-1",0.8808,0.6513,NA,"Check"
301,"az02","az02-1",0.8294,0.7051,NA,"Support"
302,"az02","az02-1",1.1578,0.7107,NA,"Check"
303,"az02","az02-1",0.729,0.5572,NA,"Support"
304,"az02","az02-1",0.8516,0.6297,NA,"Check"
305,"az02","az02-1",0.6133,0.4442,NA,"Check"
306,"az02","az02-1",0.9823,0.6673,NA,"Support"
307,"az02","az02-1",1.0043,0.7166,NA,"Check"
308,"az02","az02-1",0.9064,0.5188,NA,"Check"
309,"az02","az02-1",1.1593,0.8329,NA,"Check"
310,"az02","az02-1",0.9111,1.0029,NA,"Check"
311,"az02","az02-1",1.2304,0.7006,NA,"Check"
312,"az02","az02-1",1.3259,1.0588,NA,"Support"
313,"az02","az02-1",1.4333,4.5427,NA,"Support"
314,"az02","az02-1",0.6343,0.3895,NA,"Check"
315,"az02","az02-1",1.1831,1.215,NA,"Support"
316,"az02","az02-1",1.0902,0.7154,NA,"Support"
317,"az02","az02-1",1.397,1.9435,NA,"Support"
318,"az02","az02-1",1.3306,6.6573,NA,"Check"
319,"az02","az02-1",0.8539,0.8438,NA,"Support"
320,"az02","az02-1",1.5329,3.5739,NA,"Check"
321,"az02","az02-1",1.1567,0.7373,NA,"Check"
322,"az02","az02-1",1.1474,3.8589,NA,"Support"
323,"az02","az02-1",1.0043,0.6306,NA,"Check"
324,"az02","az02-1",1.3642,2.9124,NA,"Support"
325,"az02","az02-1",1.1656,0.8307,NA,"Support"
326,"az02","az02-1",1.5222,6.7284,NA,"Support"
327,"az02","az02-1",1.0376,0.7701,NA,"Support"
328,"az02","az02-1",0.7894,0.8162,NA,"Support"
329,"az02","az02-1",0.9443,0.735,NA,"Check"
330,"az02","az02-1",0.6084,0.4065,NA,"Check"
331,"az02","az02-1",0.9632,0.7099,NA,"Support"
332,"az02","az02-1",0.8713,0.6295,NA,"Check"
333,"az02","az02-1",1.0673,0.6123,NA,"Check"
334,"az02","az02-1",0.9338,0.5918,NA,"Check"
335,"az02","az02-1",0.6475,0.518,NA,"Support"
336,"az02","az02-1",1.2557,0.873,NA,"Support"
337,"az02","az02-1",0.9874,0.9595,NA,"Check"
338,"az02","az02-1",1.1097,0.7642,NA,"Check"
339,"az02","az02-1",1.1539,1.0792,NA,"Check"
340,"az02","az02-1",0.6343,0.3805,NA,"Support"
341,"az02","az02-1",1.0421,2.6817,NA,"Support"
342,"az02","az02-1",0.9558,0.5919,NA,"Check"
343,"az02","az02-1",0.6771,0.828,NA,"Check"
344,"az02","az02-1",1.0251,0.8539,NA,"Support"
345,"az02","az02-1",0.9823,0.6914,NA,"Support"
346,"az02","az02-1",1.0158,0.5929,NA,"Check"
347,"az02","az02-1",1.2567,5.6025,NA,"Check"
348,"az02","az02-1",1.4039,1.4119,NA,"Support"
349,"az02","az02-1",1.1578,0.709,NA,"Don't know"
350,"az02","az02-1",1.1685,1.6447,NA,"Don't know"
351,"az02","az02-1",1.1567,0.7971,NA,"Check"
352,"az02","az02-1",0.5715,0.3452,NA,"Check"
353,"az02","az02-1",1.7626,3.4855,NA,"Check"
354,"az02","az02-1",0.9574,0.5688,NA,"Support"
355,"az02","az02-1",1.1683,1.1245,NA,"Check"
356,"az02","az02-1",1.2557,0.8455,NA,"Support"
357,"az02","az02-1",1.4055,3.6106,NA,"Don't know"
358,"az02","az02-1",0.8888,0.6063,NA,"Support"
359,"az02","az02-1",1.2557,0.8533,NA,"Support"
360,"az02","az02-1",0.8273,1.0622,NA,"Don't know"
361,"az02","az02-1",0.7007,0.5085,NA,"Check"
362,"az02","az02-1",1.2277,2.0089,NA,"Check"
363,"az02","az02-1",1.2189,1.0667,NA,"Check"
364,"az02","az02-1",1.0719,1.5223,NA,"Support"
365,"az02","az02-1",0.9823,0.633,NA,"Support"
366,"az02","az02-1",1.0043,0.6195,NA,"Check"
367,"az02","az02-1",0.6343,0.4172,NA,"Check"
368,"az02","az02-1",0.8212,0.6044,NA,"Support"
369,"az02","az02-1",0.7931,0.5142,NA,"Support"
370,"az02","az02-1",0.7232,0.6275,NA,"Check"
371,"az02","az02-1",0.7306,0.497,NA,"Check"
372,"az02","az02-1",0.9756,0.8122,NA,"Support"
373,"az02","az02-1",1.2095,0.8903,NA,"Check"
374,"az02","az02-1",1.2115,1.1783,NA,"Check"
375,"az02","az02-1",0.6343,0.3733,NA,"Check"
376,"az02","az02-1",1.0916,0.861,NA,"Support"
377,"az02","az02-1",0.6084,0.4308,NA,"Check"
378,"az02","az02-1",0.9471,1.5361,NA,"Support"
379,"az02","az02-1",1.0043,0.6169,NA,"Check"
380,"az02","az02-1",1.1694,1.2886,NA,"Check"
381,"az02","az02-1",1.1009,0.6956,NA,"Check"
382,"az02","az02-1",1.0622,0.7153,NA,"Check"
383,"az02","az02-1",0.696,0.4471,NA,"Check"
384,"az02","az02-1",0.9266,0.5207,NA,"Check"
385,"az02","az02-1",0.844,0.7245,NA,"Check"
386,"az02","az02-1",0.6343,0.3892,NA,"Check"
387,"az02","az02-1",1.5286,1.32,NA,"Check"
388,"az02","az02-1",0.7549,0.4877,NA,"Support"
389,"az02","az02-1",0.6808,1.297,NA,"Check"
390,"az02","az02-1",1.1601,1.0956,NA,"Check"
391,"az02","az02-1",1.0982,0.95,NA,"Check"
392,"az02","az02-1",0.7306,0.4435,NA,"Check"
393,"az02","az02-1",0.7313,0.4613,NA,"Check"
394,"az02","az02-1",1.1567,0.7294,NA,"Check"
395,"az02","az02-1",0.6444,0.4968,NA,"Check"
396,"az02","az02-1",1.1567,0.734,NA,"Check"
397,"az02","az02-1",0.8563,1.0296,NA,"Support"
398,"az02","az02-1",0.9516,0.8327,NA,"Check"
399,"az02","az02-1",0.5178,0.3759,NA,"Check"
400,"az02","az02-1",1.0898,0.8777,NA,"Check"
401,"az02","az02-1",0.6954,0.4226,NA,"Check"
402,"az02","az02-1",1.1601,1.1007,NA,"Check"
403,"az02","az02-1",1.2329,0.9931,NA,"Check"
404,"az02","az02-1",1.1831,0.9769,NA,"Check"
405,"az02","az02-1",0.7931,0.5123,NA,"Support"
406,"az02","az02-1",0.6937,0.7857,NA,"Check"
407,"az02","az02-1",0.7699,0.6311,NA,"Check"
408,"az02","az02-1",1.2329,1.149,NA,"Support"
409,"az02","az02-1",1.1951,0.8135,NA,"Support"
410,"az02","az02-1",1.2664,2.4374,NA,"Support"
411,"az02","az02-1",1.1094,0.8277,NA,"Support"
412,"az02","az02-1",1.1586,0.723,NA,"Support"
413,"az02","az02-1",1.0251,0.847,NA,"Support"
414,"az02","az02-1",1.4216,2.223,NA,"Support"
415,"az02","az02-1",0.7009,0.4715,NA,"Check"
416,"az02","az02-1",0.8471,0.6936,NA,"Support"
417,"az02","az02-1",1.0902,0.7326,NA,"Support"
418,"az02","az02-1",1.1027,0.6744,NA,"Support"
419,"az02","az02-1",1.0059,0.6189,NA,"Check"
420,"az02","az02-1",1.0406,0.9368,NA,"Support"
421,"az02","az02-1",1.1247,0.957,NA,"Don't know"
422,"az02","az02-1",1.1027,0.6808,NA,"Check"
423,"az02","az02-1",1.0376,0.6837,NA,"Support"
424,"az02","az02-1",0.9632,0.6696,NA,"Check"
425,"az02","az02-1",1.0376,0.747,NA,"Support"
426,"az02","az02-1",1.1094,0.7977,NA,"Check"
427,"az02","az02-1",0.7995,0.557,NA,"Support"
428,"az02","az02-1",0.7939,0.527,NA,"Support"
429,"az02","az02-1",1.5123,1.4404,NA,"Support"
430,"az02","az02-1",1.1027,0.6756,NA,"Support"
431,"az02","az02-1",0.9091,0.7543,NA,"Support"
432,"az02","az02-1",1.4052,1.6105,NA,"Support"
433,"az02","az02-1",0.8959,0.6528,NA,"Support"
434,"az02","az02-1",0.7609,0.5344,NA,"Support"
435,"az02","az02-1",0.8703,0.5655,NA,"Support"
436,"az02","az02-1",0.97,0.6626,NA,"Check"
437,"az02","az02-1",1.5728,7.4019,NA,"Check"
438,"az02","az02-1",1.1115,0.7349,NA,"Support"
439,"az02","az02-1",1.0251,0.913,NA,"Support"
440,"az02","az02-1",1.3335,0.9359,NA,"Check"
441,"az02","az02-1",1.3272,1.2264,NA,"Check"
442,"az02","az02-1",1.2557,0.9067,NA,"Support"
443,"az02","az02-1",1.2047,0.8788,NA,"Support"
444,"az02","az02-1",1.3472,2.4252,NA,"Check"
445,"az02","az02-1",1.2557,0.851,NA,"Check"
446,"az02","az02-1",1.1604,1.1439,NA,"Support"
447,"az02","az02-1",1.1656,0.8727,NA,"Check"
448,"az02","az02-1",1.1027,0.6744,NA,"Support"
449,"az02","az02-1",0.973,0.7881,NA,"Check"
450,"az02","az02-1",1.3357,0.8139,NA,"Check"
451,"az02","az02-1",1.0215,1.2718,NA,"Check"
452,"az02","az02-1",1.3968,1.2729,NA,"Support"
453,"az02","az02-1",0.9523,0.5527,NA,"Support"
454,"az02","az02-1",1.0059,0.6151,NA,"Support"
455,"az02","az02-1",1.4154,2.5395,NA,"Check"
456,"az02","az02-1",0.9615,1.6991,NA,"Check"
457,"az02","az02-1",1.6188,2.6997,NA,"Support"
458,"az02","az02-1",1.0059,0.6547,NA,"Support"
459,"az02","az02-1",1.0201,0.7682,NA,"Support"
460,"az02","az02-1",1.1951,0.8033,NA,"Check"
461,"az02","az02-1",1.0647,0.8545,NA,"Check"
462,"az02","az02-1",1.2664,2.8034,NA,"Check"
463,"az02","az02-1",1.2765,4.7753,NA,"Check"
464,"az02","az02-1",1.1593,0.9183,NA,"Support"
465,"az02","az02-1",0.8867,0.7305,NA,"Check"
466,"az02","az02-1",0.7271,0.5124,NA,"Check"
467,"az02","az02-1",0.7851,0.6814,NA,"Support"
468,"az02","az02-1",1.0158,0.585,NA,"Check"
469,"az02","az02-1",1.0902,0.748,NA,"Support"
470,"az02","az02-1",0.9558,0.6874,NA,"Check"
471,"az02","az02-1",1.2557,0.8464,NA,"Support"
472,"az02","az02-1",0.8739,0.9653,NA,"Support"
473,"az02","az02-1",0.7931,0.5235,NA,"Support"
474,"az02","az02-1",1.0261,0.9501,NA,"Support"
475,"az02","az02-1",0.6394,0.4067,NA,"Check"
476,"az02","az02-1",0.8349,0.4494,NA,"Check"
477,"az02","az02-1",1.5304,7.0517,NA,"Support"
478,"az02","az02-1",0.8987,0.7034,NA,"Check"
479,"az02","az02-1",0.5721,0.4825,NA,"Support"
480,"az02","az02-1",0.6163,0.4925,NA,"Support"
